tianding = 168.75, fangwei = 322.5, ab = 0.195093, y = -0.980785, x = -0.154777, z = -0.118766
tianding = 168.75, fangwei = 330, ab = 0.195093, y = -0.980785, x = -0.168955, z = -0.0975472
tianding = 168.75, fangwei = 337.5, ab = 0.195093, y = -0.980785, x = -0.180242, z = -0.0746597
tianding = 168.75, fangwei = 345, ab = 0.195093, y = -0.980785, x = -0.188445, z = -0.0504946
tianding = 168.75, fangwei = 352.5, ab = 0.195093, y = -0.980785, x = -0.193424, z = -0.0254657
tianding = 168.75, fangwei = 360, ab = 0.195093, y = -0.980785, x = -0.195093, z = -9.89191e-07
tianding = 165, fangwei = 0, ab = 0.258821, y = -0.965925, x = -0.258821, z = 0
tianding = 165, fangwei = 7.5, ab = 0.258821, y = -0.965925, x = -0.256607, z = 0.0337829
tianding = 165, fangwei = 15, ab = 0.258821, y = -0.965925, x = -0.250002, z = 0.0669878
tianding = 165, fangwei = 22.5, ab = 0.258821, y = -0.965925, x = -0.23912, z = 0.0990466
tianding = 165, fangwei = 30, ab = 0.258821, y = -0.965925, x = -0.224146, z = 0.129411
tianding = 165, fangwei = 37.5, ab = 0.258821, y = -0.965925, x = -0.205337, z = 0.15756
tianding = 165, fangwei = 45, ab = 0.258821, y = -0.965925, x = -0.183014, z = 0.183014
tianding = 165, fangwei = 52.5, ab = 0.258821, y = -0.965925, x = -0.157561, z = 0.205337
tianding = 165, fangwei = 60, ab = 0.258821, y = -0.965925, x = -0.129411, z = 0.224146
tianding = 165, fangwei = 67.5, ab = 0.258821, y = -0.965925, x = -0.0990469, z = 0.23912
tianding = 165, fangwei = 75, ab = 0.258821, y = -0.965925, x = -0.0669881, z = 0.250002
tianding = 165, fangwei = 82.5, ab = 0.258821, y = -0.965925, x = -0.0337833, z = 0.256607
tianding = 165, fangwei = 90, ab = 0.258821, y = -0.965925, x = -3.2808e-07, z = 0.258821
tianding = 165, fangwei = 97.5, ab = 0.258821, y = -0.965925, x = 0.0337826, z = 0.256607
tianding = 165, fangwei = 105, ab = 0.258821, y = -0.965925, x = 0.0669875, z = 0.250002
tianding = 165, fangwei = 112.5, ab = 0.258821, y = -0.965925, x = 0.0990463, z = 0.23912
tianding = 165, fangwei = 120, ab = 0.258821, y = -0.965925, x = 0.12941, z = 0.224146
tianding = 165, fangwei = 127.5, ab = 0.258821, y = -0.965925, x = 0.15756, z = 0.205337
tianding = 165, fangwei = 135, ab = 0.258821, y = -0.965925, x = 0.183014, z = 0.183015
tianding = 165, fangwei = 142.5, ab = 0.258821, y = -0.965925, x = 0.205336, z = 0.157561
